Player,Year,Salary,Team,WinPer
Jason Terry,2017,1551659,MIL,0.512
Steve Novak,2017,1551659,MIL,0.512
Spencer Hawes,2017,5782450,MIL,0.512
Michael Beasley,2017,1403611,MIL,0.512
Greg Monroe,2017,17145838,MIL,0.512
Mirza Teletovic,2017,10500000,MIL,0.512
John Henson,2017,12267606,MIL,0.512
Terrence Jones,2017,1207194,MIL,0.512
Miles Plumlee,2017,12400000,MIL,0.512
Khris Middleton,2017,15200000,MIL,0.512
Giannis Antetokounmpo,2017,2995420,MIL,0.512
Tony Snell,2017,2368327,MIL,0.512
Matthew Dellavedova,2017,9607500,MIL,0.512
Jabari Parker,2017,5374320,MIL,0.512
Rashad Vaughn,2017,1811040,MIL,0.512
Axel Toupane,2017,977534,MIL,0.512
Thon Maker,2017,2568600,MIL,0.512
Malcolm Brogdon,2017,875000,MIL,0.512
Al Jefferson,2017,10230179,IND,0.512
Monta Ellis,2017,10763500,IND,0.512
Thaddeus Young,2017,12078652,IND,0.512
Rodney Stuckey,2017,7000000,IND,0.512
Aaron Brooks,2017,2700000,IND,0.512
Jeff Teague,2017,8000000,IND,0.512
Paul George,2017,18100000,IND,0.512
Kevin Seraphin,2017,1800000,IND,0.512
Lance Stephenson,2017,5371672,IND,0.512
Lavoy Allen,2017,3500000,IND,0.512
Myles Turner,2017,2380440,IND,0.512
Rakeem Christmas,2017,1052342,IND,0.512
Georges Niang,2017,650000,IND,0.512
Vince Carter,2017,4264057,MEM,0.524
Zach Randolph,2017,10000000,MEM,0.524
Tony Allen,2017,5000000,MEM,0.524
Mike Conley,2017,26540100,MEM,0.524
Brandan Wright,2017,5709880,MEM,0.524
Marc Gasol,2017,21165675,MEM,0.524
Toney Douglas,2017,564868,MEM,0.524
Chandler Parsons,2017,22116750,MEM,0.524
Troy Daniels,2017,3332940,MEM,0.524
James Ennis,2017,2898000,MEM,0.524
JaMychal Green,2017,980431,MEM,0.524
Jarell Martin,2017,1286160,MEM,0.524
Wade Baldwin,2017,1793760,MEM,0.524
Deyonta Davis,2017,1369229,MEM,0.524
Andrew Harrison,2017,945000,MEM,0.524
Troy Williams,2017,652165,MEM,0.524
Wayne Selden,2017,115087,MEM,0.524
Dirk Nowitzki,2017,25000000,DAL,0.402
Devin Harris,2017,4227996,DAL,0.402
Andrew Bogut,2017,11410378,DAL,0.402
Deron Williams,2017,14885520,DAL,0.402
Wesley Matthews,2017,17145838,DAL,0.402
Manny Harris,2017,119493,DAL,0.402
DeAndre Liggins,2017,1015695,DAL,0.402
Harrison Barnes,2017,22116750,DAL,0.402
Quincy Acy,2017,2965505,DAL,0.402
Nerlens Noel,2017,4384490,DAL,0.402
Seth Curry,2017,2898000,DAL,0.402
Dwight Powell,2017,8375000,DAL,0.402
Justin Anderson,2017,1514160,DAL,0.402
Pierre Jackson,2017,191810,DAL,0.402
Salah Mejri,2017,874636,DAL,0.402
Jonathan Gibson,2017,671346,DAL,0.402
Nicolas Brussino,2017,543471,DAL,0.402
Dorian Finney-Smith,2017,543471,DAL,0.402
Yogi Ferrell,2017,409300,DAL,0.402
Ben Bentil,2017,281968,DAL,0.402
Jarrod Uthoff,2017,129920,DAL,0.402
Quinn Cook,2017,95904,DAL,0.402
Paul Pierce,2017,3527920,LAC,0.622
Jamal Crawford,2017,13253012,LAC,0.622
Chris Paul,2017,22868827,LAC,0.622
Raymond Felton,2017,1551659,LAC,0.622
Alan Anderson,2017,1315448,LAC,0.622
Brandon Bass,2017,1551659,LAC,0.622
Marreese Speights,2017,1403611,LAC,0.622
DeAndre Jordan,2017,21165675,LAC,0.622
Blake Griffin,2017,20093064,LAC,0.622
Wesley Johnson,2017,5628000,LAC,0.622
Austin Rivers,2017,11000000,LAC,0.622
Brice Johnson,2017,1273920,LAC,0.622
Diamond Stone,2017,543471,LAC,0.622
Mike Dunleavy,2017,4837500,ATL,0.524
Kyle Korver,2017,5239437,ATL,0.524
Dwight Howard,2017,23500000,ATL,0.524
Kris Humphries,2017,8630000,ATL,0.524
Jose Calderon,2017,7708427,ATL,0.524
Ersan Ilyasova,2017,8400000,ATL,0.524
Thabo Sefolosha,2017,4000000,ATL,0.524
Paul Millsap,2017,20072033,ATL,0.524
Gary Neal,2017,72193,ATL,0.524
Mike Scott,2017,3333333,ATL,0.524
Kent Bazemore,2017,15730337,ATL,0.524
Ryan Kelly,2017,713305,ATL,0.524
Mike Muscala,2017,1015696,ATL,0.524
Lamar Patterson,2017,242963,ATL,0.524
Malcolm Delaney,2017,2500000,ATL,0.524
Mike Miller,2017,3500000,DEN,0.488
Jameer Nelson,2017,4540525,DEN,0.488
Wilson Chandler,2017,11233146,DEN,0.488
Danilo Gallinari,2017,15050000,DEN,0.488
Roy Hibbert,2017,5000000,DEN,0.488
Darrell Arthur,2017,8070175,DEN,0.488
Alonzo Gee,2017,2255408,DEN,0.488
Kenneth Faried,2017,12078652,DEN,0.488
Will Barton,2017,3533333,DEN,0.488
Mason Plumlee,2017,2328530,DEN,0.488
Jusuf Nurkic,2017,1921320,DEN,0.488
Gary Harris,2017,1655880,DEN,0.488
Johnny O'Bryant,2017,392169,DEN,0.488
Jarnell Stokes,2017,150000,DEN,0.488
Emmanuel Mudiay,2017,3241800,DEN,0.488
Nikola Jokic,2017,1358500,DEN,0.488
Jamal Murray,2017,3210840,DEN,0.488
Juan Hernangomez,2017,1987440,DEN,0.488
Malik Beasley,2017,1627320,DEN,0.488
Tyson Chandler,2017,12415000,PHX,0.293
Leandro Barbosa,2017,4000000,PHX,0.293
Ronnie Price,2017,3251227,PHX,0.293
Jared Dudley,2017,10470000,PHX,0.293
Eric Bledsoe,2017,14000000,PHX,0.293
Brandon Knight,2017,12606250,PHX,0.293
John Jenkins,2017,1050961,PHX,0.293
Alex Len,2017,4823621,PHX,0.293
Jarell Eddie,2017,277898,PHX,0.293
Devin Booker,2017,2223600,PHX,0.293
Alan Williams,2017,874636,PHX,0.293
Dragan Bender,2017,4276320,PHX,0.293
Marquese Chriss,2017,2941440,PHX,0.293
Tyler Ulis,2017,918369,PHX,0.293
Derrick Jones,2017,543471,PHX,0.293
Pau Gasol,2017,15500000,SAS,0.744
Tony Parker,2017,14445313,SAS,0.744
Manu Ginobili,2017,14000000,SAS,0.744
David Lee,2017,1551659,SAS,0.744
LaMarcus Aldridge,2017,20575005,SAS,0.744
Joel Anthony,2017,663810,SAS,0.744
Danny Green,2017,10000000,SAS,0.744
Kawhi Leonard,2017,17638063,SAS,0.744
Dewayne Dedmon,2017,2898000,SAS,0.744
Kyle Anderson,2017,1192080,SAS,0.744
Jonathon Simmons,2017,874636,SAS,0.744
Dejounte Murray,2017,1180080,SAS,0.744
Davis Bertans,2017,543471,SAS,0.744
Bryn Forbes,2017,543471,SAS,0.744
Nicolas Laprovittola,2017,204601,SAS,0.744
Joe Johnson,2017,11000000,UTA,0.622
