,Team,Year,Salary,Efficiency,Record,WinPer
0,ATL,2007,48702768,146.8,30-52,0.366
1,ATL,2008,62576418,141.9,37-45,0.451
2,ATL,2009,68168841,128.2,47-35,0.573
3,ATL,2010,65883642,125.4,53-29,0.646
4,ATL,2011,80576930,140.6,44-38,0.537
5,ATL,2012,73746304,143.9,40-26,0.606
6,ATL,2013,64798928,146.8,44-38,0.537
7,ATL,2014,51023899,148.3,38-44,0.463
8,ATL,2015,58518459,144.3,60-22,0.732
9,ATL,2016,75414449,138.2,48-34,0.585
10,ATL,2017,105995224,134.6,43-39,0.524
11,BOS,2007,53657795,146,24-58,0.293
12,BOS,2008,80528636,143.5,66-16,0.805
13,BOS,2009,85364053,142.6,62-20,0.756
14,BOS,2010,89849779,141.5,50-32,0.61
15,BOS,2011,99848060,168.7,56-26,0.683
16,BOS,2012,87265817,146.5,39-27,0.591
17,BOS,2013,81757393,153.5,41-40,0.506
18,BOS,2014,79650059,157.4,25-57,0.305
19,BOS,2015,101156813,199.6,40-42,0.488
20,BOS,2016,74274978,138.9,48-34,0.585
21,BOS,2017,91915086,148.3,53-29,0.646
22,BRK,2007,63772808,134.2,41-41,0.5
23,BRK,2008,85570996,162.5,34-48,0.415
24,BRK,2009,62666523,132.6,34-48,0.415
25,BRK,2010,60803781,143.6,Dec-70,0.146
26,BRK,2011,87420413,175.6,24-58,0.293
27,BRK,2012,71617248,175.1,22-44,0.333
28,BRK,2013,96479413,117.4,49-33,0.598
29,BRK,2014,118094396,164.8,44-38,0.537
30,BRK,2015,104104090,151.8,38-44,0.463
31,BRK,2016,75247414,167.1,21-61,0.256
32,BRK,2017,81061307,175.1,20-62,0.244
33,CHA,2007,56340359,152.4,33-49,0.402
34,CHA,2008,52689428,133.5,32-50,0.39
35,CHA,2009,92951459,156.2,35-47,0.427
36,CHA,2010,95874306,157.2,44-38,0.537
37,CHA,2011,72518102,134.1,34-48,0.415
38,CHA,2012,51376187,94,Jul-59,0.106
39,CHA,2013,70163123,133.6,21-61,0.256
40,CHA,2014,66438620,144.1,43-39,0.524
41,CHA,2015,65089380,135.4,33-49,0.402
42,CHA,2016,79714946,160.4,48-34,0.585
43,CHA,2017,112672572,164.4,36-46,0.439
44,CHI,2007,45475695,128.4,49-33,0.598
45,CHI,2008,84950003,158.1,33-49,0.402
46,CHI,2009,93704927,183.8,41-41,0.5
47,CHI,2010,67833854,156.5,41-41,0.5
48,CHI,2011,55551676,133.3,62-20,0.756
49,CHI,2012,78648447,133.2,50-16,0.758
50,CHI,2013,67517745,129,45-37,0.549
51,CHI,2014,86028514,133.5,48-34,0.585
52,CHI,2015,67414682,140.6,50-32,0.61
53,CHI,2016,89943838,162.4,42-40,0.512
54,CHI,2017,103460846,162.4,41-41,0.5
55,CLE,2007,61030523,114.9,50-32,0.61
56,CLE,2008,109490880,168.4,45-37,0.549
57,CLE,2009,74598253,113.2,66-16,0.805
58,CLE,2010,64693727,122.5,61-21,0.744
59,CLE,2011,55662858,148.4,19-63,0.232
60,CLE,2012,56854228,159.1,21-45,0.318
61,CLE,2013,51490924,159.1,24-58,0.293
62,CLE,2014,76666043,150.9,33-49,0.402
